0
40.865584_-73.898873
40.865643_-73.836971
40.865779_-73.887741
40.865797_-73.919996
40.865908_-73.887593
40.865987_-73.894217
40.866067_-73.894376
40.866099_-73.837844
40.866148_-73.871965
40.866152_-73.882689
40.866154_-73.861542
40.866251_-73.896925
40.8662_-73.928057
40.866315_-73.918596
40.866327_-73.888359
40.866336_-73.925005
40.866342_-73.900586
40.866383_-73.88514
40.866448_-73.860519
40.866449_-73.930488
40.866514_-73.848095
40.866602_-73.895443
40.866608_-73.869159
40.866613_-73.89036
40.866613_-73.9012
40.866634_-73.886461
40.866728_-73.897979
40.866751_-73.888882
40.866759_-73.920612
40.866813_-73.917205
40.866821_-73.83922
40.86693_-73.860507
40.866997_-73.902074
40.867016_-73.92311
40.867032_-73.891109
40.867064_-73.926838
40.867088_-73.839743
40.867088_-73.885738
40.867117_-73.84298
40.867133_-73.925514
40.867235_-73.88974
40.86724_-73.83649
40.867257_-73.929341
40.867258_-73.883625
40.867275_-73.919215
40.867384_-73.926406
40.867466_-73.844292
40.867474_-73.897403
40.867489_-73.842836
40.867503_-73.846174
40.867513_-73.835658
40.867518_-73.885026
40.867552_-73.861503
40.867554_-73.840644
40.867554_-73.849032
40.867555_-73.847198
40.867575_-73.850003
40.867584_-73.918414
40.867591_-73.850944
40.867606_-73.851883
40.867625_-73.852818
40.867633_-73.916588
40.867642_-73.853756
40.86766_-73.854697
40.867677_-73.898543
40.867678_-73.855707
40.867678_-73.886244
40.867693_-73.921214
40.867697_-73.856721
40.867736_-73.882843
40.867742_-73.859546
40.867763_-73.86048
40.867769_-73.925919
40.867782_-73.861498
40.867783_-73.841601
40.867792_-73.92999
40.867794_-73.861694
40.867805_-73.862504
40.867814_-73.892822
40.867818_-73.923623
40.867832_-73.899357
40.867839_-73.864385
40.867857_-73.865324
40.867858_-73.841224
40.867874_-73.866264
40.867881_-73.89953
40.867882_-73.892996
40.86789_-73.867275
40.867911_-73.868289
40.867929_-73.88906
40.867951_-73.870492
40.867957_-73.88769
40.867986_-73.899976
40.868006_-73.884239
40.868009_-73.840721
40.868016_-73.891278
40.86803_-73.87911
40.86804_-73.90017
40.868076_-73.833912
40.868114_-73.919754
40.868143_-73.885556
40.868251_-73.916139
40.868275_-73.839887
40.86828_-73.90114
40.868368_-73.889805
40.86837_-73.881841
40.868386_-73.894153
40.868457_-73.83273
40.868473_-73.924038
40.868475_-73.842406
40.868482_-73.918561
40.868497_-73.921726
40.868501_-73.83259
40.868545_-73.839053
40.868547_-73.888314
40.868565_-73.896561
40.868571_-73.930919
40.868573_-73.881469
40.868624_-73.892421
40.868696_-73.902358
40.868702_-73.862477
40.868705_-73.884709
40.868749_-73.894963
40.86876_-73.864356
40.868777_-73.913352
40.868792_-73.831673
40.868806_-73.890546
40.868844_-73.931277
40.868854_-73.863412
40.868863_-73.843157
40.868885_-73.917594
40.869023_-73.823681
40.869063_-73.889128
40.869083_-73.837389
40.869088_-73.843586
40.869117_-73.830475
40.869118_-73.900409
40.869135_-73.865281
40.869137_-73.895829
40.869152_-73.882379
40.86915_-73.922145
40.869194_-73.880375
40.869274_-73.901342
40.869319_-73.916734
40.869354_-73.847994
40.869372_-73.848974
40.869383_-73.857616
40.869392_-73.849961
40.869407_-73.850885
40.869409_-73.902127
40.869426_-73.851824
40.869428_-73.82618
40.86942_-73.844231
40.869444_-73.912847
40.869461_-73.853699
40.869475_-73.88625
40.86948_-73.854615
40.869497_-73.85565
40.869511_-73.891737
40.869522_-73.889892
40.869523_-73.844421
40.869533_-73.85745
40.869535_-73.857608
40.869538_-73.884965
40.869546_-73.879719
40.869551_-73.915183
40.869552_-73.881742
40.869567_-73.859484
40.869572_-73.906319
40.869575_-73.826178
40.869583_-73.916275
40.869585_-73.860422
40.869603_-73.861433
40.869622_-73.862447
40.869641_-73.863387
40.869656_-73.864326
40.869674_-73.870537
40.869677_-73.869278
40.869684_-73.868229
40.869695_-73.867222
