lat,lng,intersection,data
40.731125,-74.004234,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-74.004223', 'distance': '0', 'bearing': '70', 'placename': 'New York', 'street1Bearing': '247', 'street2Bearing': '23', 'adminName2': 'New York', 'postalcode': '10014', 'countryCode': 'US', 'street1': 'Morton St', 'street2': '7th Ave S', 'adminName1': 'New York', 'lat': '40.731128'}"
40.82773,-73.94952,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.949505', 'distance': '0', 'bearing': '99', 'placename': 'New York', 'street1Bearing': '299', 'street2Bearing': '28', 'adminName2': 'New York', 'postalcode': '10031', 'countryCode': 'US', 'street1': 'W 147th St', 'street2': 'Broadway', 'adminName1': 'New York', 'lat': '40.827728'}"
40.764896,-73.97256,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.972553', 'distance': '0', 'bearing': '69', 'placename': 'New York', 'street1Bearing': '29', 'street2Bearing': '297', 'adminName2': 'New York', 'postalcode': '10022', 'countryCode': 'US', 'street1': '5th Ave', 'street2': 'Doris C Freedman Pl', 'adminName1': 'New York', 'lat': '40.764898'}"
40.75301,-73.86541,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.865401', 'distance': '0', 'bearing': '89', 'placename': 'New York', 'street1Bearing': '70', 'street2Bearing': '162', 'adminName2': 'Queens', 'postalcode': '11368', 'countryCode': 'US', 'street1': '37th Ave', 'street2': '102nd St', 'adminName1': 'New York', 'lat': '40.75301'}"
40.608765,-73.986725,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.986713', 'distance': '0', 'bearing': '77', 'placename': 'New York', 'street1Bearing': '218', 'street2Bearing': '128', 'adminName2': 'Kings', 'postalcode': '11204', 'countryCode': 'US', 'street1': 'Bay Pkwy', 'street2': '74th St', 'adminName1': 'New York', 'lat': '40.608767'}"
40.574005,-73.98969,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.989686', 'distance': '0', 'bearing': '108', 'placename': 'New York', 'street1Bearing': '249', 'street2Bearing': '171', 'adminName2': 'Kings', 'postalcode': '11224', 'countryCode': 'US', 'street1': 'Surf Ave', 'street2': 'W 23rd St', 'adminName1': 'New York', 'lat': '40.574004'}"
40.832573,-73.91052,True,"{'mtfcc1': 'S1720', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.910515', 'distance': '0', 'bearing': '104', 'placename': 'New York', 'street1Bearing': '113', 'street2Bearing': '22', 'adminName2': 'Bronx', 'postalcode': '10456', 'countryCode': 'US', 'street1': 'E 168th St', 'street2': 'Clay Ave', 'adminName1': 'New York', 'lat': '40.832572'}"
40.58828,-73.94826,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.948246', 'distance': '0', 'bearing': '89', 'placename': 'New York', 'street1Bearing': '71', 'street2Bearing': '171', 'adminName2': 'Kings', 'postalcode': '11235', 'countryCode': 'US', 'street1': 'Jerome Ave', 'street2': 'E 21st St', 'adminName1': 'New York', 'lat': '40.58828'}"
40.695896,-73.90247,False,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.903218', 'distance': '0.11', 'bearing': '216', 'placename': 'New York', 'street1Bearing': '36', 'street2Bearing': '127', 'adminName2': 'Queens', 'postalcode': '11385', 'countryCode': 'US', 'street1': 'Norman St', 'street2': 'Wyckoff Ave', 'adminName1': 'New York', 'lat': '40.695117'}"
40.76399,-73.93288,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.93287', 'distance': '0', 'bearing': '89', 'placename': 'New York', 'street1Bearing': '215', 'street2Bearing': '121', 'adminName2': 'Queens', 'postalcode': '11106', 'countryCode': 'US', 'street1': '21st St', 'street2': '33rd Rd', 'adminName1': 'New York', 'lat': '40.76399'}"
40.730667,-73.99885,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.998842', 'distance': '0', 'bearing': '71', 'placename': 'New York', 'street1Bearing': '33', 'street2Bearing': '122', 'adminName2': 'New York', 'postalcode': '10012', 'countryCode': 'US', 'street1': 'Sullivan St', 'street2': 'Washington Sq S', 'adminName1': 'New York', 'lat': '40.730669'}"
40.694138,-73.92649,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.926481', 'distance': '0', 'bearing': '66', 'placename': 'New York', 'street1Bearing': '36', 'street2Bearing': '125', 'adminName2': 'Kings', 'postalcode': '11221', 'countryCode': 'US', 'street1': 'Kossuth Pl', 'street2': 'Bushwick Ave', 'adminName1': 'New York', 'lat': '40.694141'}"
40.66955,-73.94497,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.944962', 'distance': '0', 'bearing': '45', 'placename': 'New York', 'street1Bearing': '183', 'street2Bearing': '94', 'adminName2': 'Kings', 'postalcode': '', 'countryCode': 'US', 'street1': 'Brooklyn Ave', 'street2': 'Eastern Pkwy', 'adminName1': 'New York', 'lat': '40.669556'}"
40.650806,-73.94958,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.949571', 'distance': '0', 'bearing': '81', 'placename': 'New York', 'street1Bearing': '86', 'street2Bearing': '175', 'adminName2': 'Kings', 'postalcode': '11226', 'countryCode': 'US', 'street1': 'Church Ave', 'street2': 'Nostrand Ave', 'adminName1': 'New York', 'lat': '40.650807'}"
40.881073,-73.878494,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.878487', 'distance': '0', 'bearing': '60', 'placename': 'New York', 'street1Bearing': '14', 'street2Bearing': '123', 'adminName2': 'Bronx', 'postalcode': '10467', 'countryCode': 'US', 'street1': 'Bainbridge Ave', 'street2': 'E Gun Hill Rd', 'adminName1': 'New York', 'lat': '40.881076'}"
40.827595,-73.85004,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.85003', 'distance': '0', 'bearing': '82', 'placename': 'New York', 'street1Bearing': '79', 'street2Bearing': '349', 'adminName2': 'Bronx', 'postalcode': '10472', 'countryCode': 'US', 'street1': 'Bruckner Blvd', 'street2': 'Castle Hill Ave', 'adminName1': 'New York', 'lat': '40.827596'}"
40.821198,-73.86595,False,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.865746', 'distance': '0.03', 'bearing': '140', 'placename': 'New York', 'street1Bearing': '323', 'street2Bearing': '79', 'adminName2': 'Bronx', 'postalcode': '10473', 'countryCode': 'US', 'street1': 'Sound View Ave', 'street2': 'Lafayette Ave', 'adminName1': 'New York', 'lat': '40.821012'}"
40.632168,-74.02453,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-74.02452', 'distance': '0', 'bearing': '97', 'placename': 'New York', 'street1Bearing': '108', 'street2Bearing': '197', 'adminName2': 'Kings', 'postalcode': '11209', 'countryCode': 'US', 'street1': '73rd St', 'street2': '4th Ave', 'adminName1': 'New York', 'lat': '40.632167'}"
40.665558,-73.72985,True,"{'mtfcc1': 'S1200', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.729842', 'distance': '0', 'bearing': '89', 'placename': 'New York', 'street1Bearing': '90', 'street2Bearing': '181', 'adminName2': 'Queens', 'postalcode': '', 'countryCode': 'US', 'street1': 'Sunrise Hwy', 'street2': 'Hook Creek Blvd', 'adminName1': 'New York', 'lat': '40.665558'}"
40.77994,-73.97103,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.971029', 'distance': '0', 'bearing': '8', 'placename': 'New York', 'street1Bearing': '223', 'street2Bearing': '120', 'adminName2': 'New York', 'postalcode': '', 'countryCode': 'US', 'street1': 'West Dr', 'street2': '79th St Transverse Rd', 'adminName1': 'New York', 'lat': '40.779945'}"
40.760967,-73.984955,False,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.984464', 'distance': '0.05', 'bearing': '117', 'placename': 'New York', 'street1Bearing': '299', 'street2Bearing': '25', 'adminName2': 'New York', 'postalcode': '10019', 'countryCode': 'US', 'street1': 'W 49th St', 'street2': 'Broadway', 'adminName1': 'New York', 'lat': '40.760773'}"
40.578995,-73.96491,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.96491', 'distance': '0', 'bearing': '0', 'placename': 'New York', 'street1Bearing': '164', 'street2Bearing': '74', 'adminName2': 'Kings', 'postalcode': '11235', 'countryCode': 'US', 'street1': 'Brighton 3rd St', 'street2': 'Ocean View Ave', 'adminName1': 'New York', 'lat': '40.578996'}"
40.664604,-73.97685,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.976846', 'distance': '0', 'bearing': '45', 'placename': 'New York', 'street1Bearing': '212', 'street2Bearing': '122', 'adminName2': 'Kings', 'postalcode': '11215', 'countryCode': 'US', 'street1': 'Prospect Park W', 'street2': '9th St', 'adminName1': 'New York', 'lat': '40.664607'}"
40.622612,-73.98667,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.986667', 'distance': '0', 'bearing': '48', 'placename': 'New York', 'street1Bearing': '217', 'street2Bearing': '128', 'adminName2': 'Kings', 'postalcode': '11204', 'countryCode': 'US', 'street1': '18th Ave', 'street2': '59th St', 'adminName1': 'New York', 'lat': '40.622614'}"
40.817387,-73.92277,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.922758', 'distance': '0', 'bearing': '83', 'placename': 'New York', 'street1Bearing': '108', 'street2Bearing': '200', 'adminName2': 'Bronx', 'postalcode': '10451', 'countryCode': 'US', 'street1': 'E 149th St', 'street2': 'Morris Ave', 'adminName1': 'New York', 'lat': '40.817388'}"
40.87831,-73.870155,True,"{'mtfcc1': 'S1100', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.870148', 'distance': '0', 'bearing': '52', 'placename': 'New York', 'street1Bearing': '194', 'street2Bearing': '106', 'adminName2': 'Bronx', 'postalcode': '', 'countryCode': 'US', 'street1': 'Bronx River Pkwy', 'street2': 'E Gun Hill Rd', 'adminName1': 'New York', 'lat': '40.878314'}"
40.867676,-73.88625,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.886244', 'distance': '0', 'bearing': '66', 'placename': 'New York', 'street1Bearing': '48', 'street2Bearing': '147', 'adminName2': 'Bronx', 'postalcode': '10458', 'countryCode': 'US', 'street1': 'Marion Ave', 'street2': 'Oliver Pl', 'adminName1': 'New York', 'lat': '40.867678'}"
40.694313,-73.93052,True,"{'mtfcc1': 'S1400', 'mtfcc2': 'S1400', 'adminCode1': 'NY', 'lng': '-73.930512', 'distance': '0', 'bearing': '56', 'placename': 'New York', 'street1Bearing': '126', 'street2Bearing': '36', 'adminName2': 'Kings', 'postalcode': '11221', 'countryCode': 'US', 'street1': 'Broadway', 'street2': 'Dodworth St', 'adminName1': 'New York', 'lat': '40.694317'}"
