,,,,,,,,total,train,val
0.4,0.8,0.7000000000000001,0.7000000000000001,0.9,0.4,0.8,0.7000000000000001,0.8807648328767924,0.9135054232512495,0.7615610877231046
0.7000000000000001,0.8,0.8,0.5,0.9,0.4,0.5,0.5,0.8800815932116056,0.9128523866699854,0.7607403713401488
0.7000000000000001,0.6000000000000001,0.8,0.4,0.9,0.4,0.7000000000000001,0.7000000000000001,0.878716331971794,0.9113811673579705,0.7597656433345217
0.4,0.8,0.8,0.8,0.5,0.4,0.9,0.5,0.8770776599538562,0.9093867383439254,0.759510031690819
0.6000000000000001,0.8,0.7000000000000001,0.9,0.4,0.4,0.7000000000000001,0.7000000000000001,0.8771028650326569,0.9096274725048156,0.7592814509961813
0.5,0.8,0.7000000000000001,0.8,0.7000000000000001,0.4,0.4,0.7000000000000001,0.8785584909207631,0.9113108708285694,0.7592537744152379
0.4,0.9,0.9,0.5,0.8,0.4,0.8,0.8,0.8782204846492643,0.910941843081653,0.7590316099900075
0.7000000000000001,0.4,0.9,0.4,0.9,0.4,0.8,0.8,0.8762830582801185,0.9086701507816892,0.7587904970058625
0.4,0.8,0.6000000000000001,0.4,0.9,0.4,0.7000000000000001,0.8,0.8797730133383828,0.9129936122666458,0.7586250432490221
0.5,0.8,0.8,0.5,0.4,0.8,0.8,0.7000000000000001,0.876203859985629,0.9086680899566301,0.7586020290014178
0.6000000000000001,0.4,0.7000000000000001,0.5,0.8,0.4,0.5,0.5,0.8733078996551961,0.9050320664704581,0.7583944762816637
0.7000000000000001,0.8,0.8,0.9,0.7000000000000001,0.4,0.7000000000000001,0.7000000000000001,0.8799708864890766,0.913304508935108,0.7583756485030488
0.5,0.6000000000000001,0.9,0.4,0.9,0.4,0.4,0.8,0.8767484396129763,0.9092750117936189,0.7583028064232339
0.5,0.9,0.8,0.6000000000000001,0.8,0.4,0.9,0.5,0.8787421378919879,0.9118401357149006,0.7580594289204573
0.7000000000000001,0.8,0.9,0.6000000000000001,0.7000000000000001,0.4,0.4,0.6000000000000001,0.8785463325836905,0.9116156476318024,0.7579735789721374
0.5,0.8,0.8,0.6000000000000001,0.5,0.6000000000000001,0.6000000000000001,0.8,0.8781636847236952,0.9111402655732628,0.7579525350316848
0.5,0.6000000000000001,0.8,0.4,0.7000000000000001,0.4,0.7000000000000001,0.8,0.8758593376517199,0.9082683504004374,0.7578622567759884
0.7000000000000001,0.8,0.8,0.5,0.8,0.7000000000000001,0.4,0.6000000000000001,0.8789807512891776,0.9122120616691991,0.7577706119281683
0.7000000000000001,0.6000000000000001,0.8,0.8,0.4,0.4,0.7000000000000001,0.7000000000000001,0.8754339978848013,0.9079451726022661,0.7576256107903246
0.7000000000000001,0.8,0.7000000000000001,0.4,0.4,0.5,0.5,0.7000000000000001,0.8766893179478886,0.9095262191641487,0.757608642420745
0.5,0.7000000000000001,0.7000000000000001,0.8,0.8,0.4,0.5,0.5,0.8780273031671925,0.911078563957327,0.7575141073334878
0.4,0.5,0.9,0.5,0.8,0.4,0.8,0.5,0.8741654508689531,0.9062519867222256,0.7574169632632277
0.4,0.6000000000000001,0.7000000000000001,0.4,0.7000000000000001,0.4,0.7000000000000001,0.8,0.8754840443058243,0.9079997874066524,0.7570508885254095
0.6000000000000001,0.4,0.7000000000000001,0.4,0.8,0.6000000000000001,0.6000000000000001,0.7000000000000001,0.8753716655556748,0.9079671794252717,0.7570231897184734
0.4,0.7000000000000001,0.7000000000000001,0.5,0.7000000000000001,0.4,0.6000000000000001,0.7000000000000001,0.876413287590815,0.9091892164734995,0.7569620531533408
0.4,0.7000000000000001,0.9,0.6000000000000001,0.8,0.4,0.7000000000000001,0.5,0.8771449724508683,0.9101161218933596,0.756930701746363
0.6000000000000001,0.8,0.8,0.9,0.4,0.6000000000000001,0.4,0.6000000000000001,0.8772697757465413,0.9104436247579714,0.7568554665460026
0.5,0.8,0.8,0.9,0.8,0.7000000000000001,0.8,0.8,0.8803545931797094,0.9141772596430532,0.7568125378242052
0.6000000000000001,0.6000000000000001,0.9,0.4,0.8,0.4,0.9,0.4,0.8752725221500605,0.9078167431910722,0.7567202955319403
0.5,0.6000000000000001,0.7000000000000001,0.8,0.4,0.4,0.9,0.7000000000000001,0.8743260152549615,0.9067904881117077,0.7566774116367784
0.4,0.4,0.9,0.5,0.7000000000000001,0.4,0.7000000000000001,0.7000000000000001,0.8728130526696156,0.90484099259116,0.7566724674322816
0.4,0.8,0.8,0.9,0.5,0.5,0.5,0.8,0.8770859860193061,0.9101263332695172,0.7565934853904673
0.7000000000000001,0.4,0.9,0.8,0.8,0.4,0.6000000000000001,0.5,0.8751502485239404,0.9078070102569743,0.7565513808175838
0.6000000000000001,0.5,0.8,0.5,0.9,0.4,0.7000000000000001,0.9,0.8764086943985205,0.909317271838082,0.7564267537044572
0.4,0.8,0.6000000000000001,0.4,0.7000000000000001,0.4,0.4,0.8,0.8767296689343631,0.9097586034714268,0.7562741284975077
0.6000000000000001,0.7000000000000001,0.8,0.4,0.8,0.7000000000000001,0.5,0.6000000000000001,0.8793087298896155,0.9130237777220735,0.7561716401969196
