trial_id,base_lr,max_iter,batch_size_per_image,ims_per_batch,augmentation,avg_accuracy,mAP,AP50,ap_AP-intersection,ap_AP-crosswalk,ap_AP-median,ap_AP-doubleYellow,ap_AP-bikeLane,ap_AP-bikeLaneInt,ap_AP-overpass,ap_AP-busLane
0,0.0013547609261037,307,63,2,True,0.5190926549745974,15.44890889210578,23.07962441935372,53.49664491506828,61.905850567655776,0.439076874720439,0.0,0.3564356435643565,0.0,7.393263135837393,0.0
1,0.0089782691801483,410,48,5,True,0.648294776506673,29.60947263860898,51.85011001740064,62.1475123953348,63.18729640519315,28.461474622057658,12.410824583272166,8.822344260323659,14.806040850979135,18.217821782178216,28.822466209533044
2,0.008798849052223133,222,62,6,False,0.5146132189207271,22.881167682380326,42.9656497596242,53.20637171352423,57.8264289263836,25.58010233268441,12.455853623024547,7.7139201190156275,9.630515415191535,4.336633663366336,12.299515665852297
