trial_id,base_lr,max_iter,batch_size_per_image,ims_per_batch,augmentation,mAP,AP50,ap_AP-intersection,ap_AP-crosswalk,ap_AP-median,ap_AP-doubleYellow,ap_AP-bikeLane,ap_AP-bikeLaneInt,ap_AP-overpass,ap_AP-busLane
0,0.0005904456262692,402,21,6,True,15.457830395370578,24.632347077798865,54.62576211094253,60.861138477764655,0.0,0.0,0.0,0.0,8.175742574257425,0.0
1,0.003199945822103,846,28,2,False,22.995411936636355,39.31550842665777,55.370260285086125,58.13380464000325,3.713229882768986,5.838650667955503,7.257498012276893,5.350187584776529,21.584158415841586,26.71550600438195
2,0.000417292266485,319,58,2,True,13.063006946083764,20.94820115753368,48.680572825404205,53.942294624454014,0.0,0.0,0.0,0.0,1.881188118811881,0.0
3,0.000112461347278,336,26,3,True,5.549543745901934,8.608645402690387,0.0528070441664719,44.34354292304899,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0007098663796918819,296,44,9,False,13.231067414634474,23.825098299489262,26.62629319935127,51.58688760069582,5.248656589927087,3.1505493647298044,1.83214189103439,2.4205123215024207,14.834983498349832,0.1485148514851485
